movie_name,ranking,score,score_num
你的名字。,164,8.4,761311
海边的曼彻斯特,165,8.6,295821
我是山姆,166,8.9,156565
头脑特工队,167,8.7,341319
你看起来好像很好吃,168,8.8,203065
恋恋笔记本,169,8.5,386883
哪吒闹海,170,9.0,130663
无敌破坏王,171,8.7,308135
虎口脱险,172,8.9,141508
冰川时代,173,8.5,380583
二十二,174,8.7,169772
海洋,175,9.1,116697
雨中曲,176,9.0,125432
爆裂鼓手,177,8.7,325384
未麻的部屋,178,8.9,148158
模仿游戏,179,8.6,356620
一个叫欧维的男人决定去死,180,8.8,196563
忠犬八公物语,181,9.1,97276
燃情岁月,182,8.8,185614
人工智能,183,8.6,259478
魔女宅急便,184,8.6,282021
房间,185,8.8,230400
穿越时空的少女,186,8.6,250960
天书奇谭,187,9.1,92455
恐怖游轮,188,8.4,460824
魂断蓝桥,189,8.8,165117
黑客帝国3：矩阵革命,190,8.7,226896
海街日记,191,8.7,215068
猜火车,192,8.5,307085
罗生门,193,8.8,176065
完美陌生人,194,8.5,334989
阿飞正传,195,8.5,296810
头号玩家,196,8.7,828180
香水,197,8.5,363404
功夫,198,8.4,469025
可可西里,199,8.7,171662
朗读者,200,8.5,333973
谍影重重2,201,8.6,219729
浪潮,202,8.7,173847
牯岭街少年杀人事件,203,8.8,149951
谍影重重,204,8.6,261786
战争之王,205,8.6,225625
地球上的星星,206,8.9,121287
疯狂的石头,207,8.4,453882
初恋这件小事,208,8.3,636103
青蛇,209,8.5,304895
惊魂记,210,8.9,124356
终结者2：审判日,211,8.6,199500
源代码,212,8.4,521802
爱在午夜降临前,213,8.8,167773
步履不停,214,8.8,140166
新龙门客栈,215,8.5,258946
奇迹男孩,216,8.6,324807
小萝莉的猴神大叔,217,8.5,272938
追随,218,8.9,108743
一次别离,219,8.7,168583
无耻混蛋,220,8.5,295020
再次出发之纽约遇见你,221,8.5,246216
釜山行,222,8.4,566176
血钻,223,8.6,197194
东京物语,224,9.2,73178
撞车,225,8.6,219765
彗星来的那一夜,226,8.5,277359
城市之光,227,9.3,65351
2001太空漫游,228,8.7,150190
梦之安魂曲,229,8.7,145076
新世界,230,8.7,150892
绿里奇迹,231,8.7,145551
疯狂的麦克斯4：狂暴之路,232,8.6,297660
聚焦,233,8.8,173184
E.T. 外星人,234,8.5,211905
这个男人来自地球,235,8.5,245540
末路狂花,236,8.7,138432
黑鹰坠落,237,8.6,170158
发条橙,238,8.5,238472
遗愿清单,239,8.6,192017
变脸,240,8.4,273240
勇闯夺命岛,241,8.6,182634
国王的演讲,242,8.4,436927
我爱你,243,9.0,84940
黄金三镖客,244,9.1,71258
千钧一发,245,8.7,131771
非常嫌疑犯,246,8.6,163804
秒速5厘米,247,8.3,414097
驴得水,248,8.3,505119
卡萨布兰卡,249,8.6,160907
四个春天,250,8.9,87750
